# Optional ,# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Optional,# Required | The brand name of the item. Character limit: 100.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Optional | ,# Required | The current condition of the item. | Supported values: new; used,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.
custom_label_1,product_tags[1],item_group_id,id,title,description,rich_text_description,brand,size,color,price,link,additional_image_link,condition,availability,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,google_product_category,fb_product_category
,Lichtlinie,lightra_x015,olHJtrUhhLVDB5FN2Is6G0,Profil LIGHTRA X015,Patentiertes Profil LIGHTRA X015® Trennprofil für Spanndecken mit Harpunensystem zur Befestigung des Tuchs. Geeignet zur Erstellung von Lichtlinien.,,alumineu,Aluminium,Ungefärbt,3.11 EUR,https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x015?editionuid=744771070761,"https://drive.google.com/uc?id=17iV6kxFVV-6UxRAO6BWNsDD2IXWu1e81, https://drive.google.com/uc?id=1WcJRUsaDNmuIOKetxO_MF4iAAAHK55_V, https://drive.google.com/uc?id=1rihMoOyXkgST-35QSsU7xZQYxd5d18BK",new,in stock,100,,,7112,1457
,Lichtlinie,lightra_x030,Rv6KF1WLiPamjAv2BaZge3,Profil LIGHTRA X030,Patentiertes Profil LIGHTRA X030® Trennprofil für Spanndecken mit Harpunensystem zur Befestigung des Tuchs. Zur Verwendung bei der Erstellung von Lichtlinien.,,alumineu,Aluminium,Ungefärbt,4.15 EUR,https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x030?editionuid=510496803981,"https://drive.google.com/uc?id=1q7Hts3XHwGIejVqxiVGsKJpdCiQA8pPf, https://drive.google.com/uc?id=1BQBllYQFT0EMogqzRdPczmwCZFWz1Yqy, https://drive.google.com/uc?id=1sfutcwagZ85qrgpibibA0bo1Sy0xKsh3, https://drive.google.com/uc?id=1W78jOKuvbMeYaf-ZkonW14Qzvy6OpXA6",new,in stock,100,,,7112,1457
,Lichtlinie,lightra_x030_s,MzeeWUC0gyE9JJJLbz34v3,Profil LIGHTRA X030 S,Patentierter Profil LIGHTRA X030 S® Trennprofil für Spanndecken mit Harpunensystem zur Befestigung des Tuchs. Ideal zur Erstellung von Lichtlinien.,,alumineu,Aluminium,Ungefärbt,3.63 EUR,https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x030-s?editionuid=573449500411,"https://drive.google.com/uc?id=15qCEfUTj7bSVVMsuaHMrBqQW7bcq_eZI, https://drive.google.com/uc?id=18Gfax0Zlm0P6c9Qun0v_NDS2JGZ4o8SL, https://drive.google.com/uc?id=1sfutcwagZ85qrgpibibA0bo1Sy0xKsh3, https://drive.google.com/uc?id=1W78jOKuvbMeYaf-ZkonW14Qzvy6OpXA6",new,in stock,100,,,7112,1457
,Lichtlinie,lightra_x050,wDQZybWWgNkn2Zq49zPi30,Profil LIGHTRA X050,Patentierter Profil LIGHTRA X050® Trennprofil für Spanndecken mit Harpunensystem zur Befestigung des Tuchs. Ideal zur Erstellung von Lichtlinien.,,alumineu,Aluminium,Ungefärbt,4.67 EUR,https://alumineu.de/produkte/harpunenprofile/lichtlinie/lightra-x050?editionuid=785067003561,"https://drive.google.com/uc?id=1MqY7Vf5cGaa3CWyf_y_xmKj_wGGcsMoC, https://drive.google.com/uc?id=1Uovd-WdU3rlnadGUDiqU6H81XMolnQCe, https://drive.google.com/uc?id=1KyqcpZd4sXvoMBwm_a6yqP8rNgzGAFL_",new,in stock,100,,,7112,1457
,Lichtlinie,lamplix_x930,63SkQfPpjSYcEKuuMh-YG2,Profil LAMPLIX X930,"Universelles Profil LAMPLIX X930® für die Herstellung von Lichtbändern und Leuchten für die Aufputzmontage, die Hängemontage und die Einbaumontage.",,alumineu,Aluminium,Ungefärbt,5.19 EUR,https://alumineu.de/produkte/harpunenprofile/lichtlinie/lamplix-x930?editionuid=261995923602,https://drive.google.com/uc?id=1xXNkBl86L3quT1nBKIgp8yycX1v1q3Fs,new,in stock,100,,,7112,1457
,Lichtlinie,lamplix_x950,Xo7o90pXhmhKf1FmlwptL2,Profil LAMPLIX X950,"Universelles Profil LAMPLIX X950® für die Herstellung von Lichtbändern und Leuchten für die Aufputzmontage, die Hängemontage und die Einbaumontage.",,alumineu,Aluminium,Ungefärbt,7.78 EUR,https://alumineu.de/produkte/harpunenprofile/lichtlinie/lamplix-x950?editionuid=193834781942,https://drive.google.com/uc?id=11h_ZjHi0RgCfs0mxydWzJL9fBR8VXVzV,new,in stock,100,,,7112,1457
,Wandabschluss,classix_x101,rtBsri0AgIfzRs45xlYEo3,Profil CLASSIX X101,Patentiertes Profil CLASSIX X101® für Spanndecken mit Harpunensystem zur Befestigung der Folie. Zur Umrundung komplexer Wände. Der Profilumfang wird mit einer Wandeinlage geschlossen.,,alumineu,Aluminium,Ungefärbt,2.33 EUR,https://alumineu.de/produkte/harpunenprofile/wandabschluss/classix-x101?editionuid=536934646932,"https://drive.google.com/uc?id=1MErYcBb87Sxu_komEHnWC7vCRDOdn_X2, https://drive.google.com/uc?id=1NqfaIYhtHhIdo45z0XHcY59LDSSABIPR, https://drive.google.com/uc?id=1rxYyLf7jDWGOJwsyMqDNvsSkKs9uvvSF",new,in stock,100,,,7112,1457
,Wandabschluss,classix_x130,lxFpGXGnhGh-TPEwCLiEt2,Profil CLASSIX X130,Patentiertes CLASSIX X130® Profil für Spanndecken mit Harpunen-Befestigungssystem für die Folie. Der Profilumfang ist mit einer Wandeinlage geschlossen.,,alumineu,Aluminium,Ungefärbt,0.78 EUR,https://alumineu.de/produkte/harpunenprofile/wandabschluss/classix-x101?editionuid=870397026532,"https://drive.google.com/uc?id=1ZhZipXy3PhVjxJef-p34_uGcpAKVA9xs, https://drive.google.com/uc?id=14bApwSlV4Be-ifscx95PI5z5EcVbuIRw, https://drive.google.com/uc?id=12rxjKAcddVR-9l0CHSIUzX0YS3ud9FVr",new,in stock,100,,,7112,1457
,Wandabschluss,classix_x140,V3cnnvOSiRXwOxWDjbAgp3,Profil CLASSIX X140,Patentiertes CLASSIX X140® Wandprofil für Spanndecken mit Harpunen-Befestigungssystem für die Folie. Ohne Wandeinlage.,,alumineu,Aluminium,Ungefärbt,1.01 EUR,https://alumineu.de/produkte/harpunenprofile/wandabschluss/classix-x101?editionuid=280241505021,"https://drive.google.com/uc?id=1NJlm9rib2fADT2a1KKrDqxRmE-rRjRmf, https://drive.google.com/uc?id=12dVzIY0_2lwsfic_sSkj31l8_t3uwFBU, https://drive.google.com/uc?id=1-Ju5UBs6eNWGpnmWaTA7Fwkd-OX8nZ8v",new,in stock,100,,,7112,1457
,Schattenfugen,invisia_x201,oo9OjTbNgZ8SJAWgghj610,Profil INVISIA X201,"Patentiertes Profil INVISIA X201®, wandmontiertes Abstandsprofil für Spanndecken mit Harpunen-Befestigungssystem für die Folie.",,alumineu,Aluminium,Schwarz matt,2.70 EUR,https://alumineu.de/produkte/harpunenprofile/schattenfugen/invisia-x201?editionuid=815801714141,"https://drive.google.com/uc?id=1R-9QlXUhfHmRRNjNI6FFUDC0O1wVOHvn, https://drive.google.com/uc?id=1vSRgPTQS66SjVeqt_obeRAT1BMvbPEuw, https://drive.google.com/uc?id=1doNRn2lC1L7rXkO4RoBlb8wllXxFd2qa",new,in stock,100,,,7112,1457
