id	title	description	brand	mpn	image_link	link
olHJtrUhhLVDB5FN2Is6G0	Profil LIGHTRA X015	Patentowany profil LIGHTRA x015® separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.	alumineu	lightra_x015	https://drive.google.com/uc?id=1MQGzg9P1nq7D9KtwS2bRRAM4WHnPjajH	https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x015
63SkQfPpjSYcEKuuMh-YG2	Profil LAMPLIX X930	"Uniwersalny profil LAMPLIX x930® do wykonywania natynkowych, podwieszanych i wpuszczanych linii świetlnych oraz opraw oświetleniowych."	alumineu	lamplix_x930	https://drive.google.com/uc?id=10CFhfti539lUpLRo9_1Tj8HPlW8Gj7VF	https://alumineu.pl/produkty/profile-harpunowe/swietlne/lamplix-x930
rtBsri0AgIfzRs45xlYEo3	Profil CLASSIX X101	Patentowany profil CLASSIX x101® do sufitów napinanych z harpunowym systemem mocowania płótna. Do obejścia skomplikowanych ścian. Obwód profilu jest zamknięty wkładką ścienną.	alumineu	classix_x101	https://drive.google.com/uc?id=1yZhexEW6DL9rrCoaL1_Df5A9nL4XhHrE	https://alumineu.pl/produkty/profile-harpunowe/bezszczelinowe/classix-x101
oo9OjTbNgZ8SJAWgghj610	Profil INVISIA X201	Patentowany profil INVISIA x201® ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna.	alumineu	invisia_x201	https://drive.google.com/uc?id=17KWlQvsVjXsCYacbbgYyqEeNw9Kyq0sK	https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x201
eePmEHIghXucCCjWcE2zy3	Profil CURTINA X402	Patentowany profil CURTINA x402® do wykonania ukrytych wnęk karniszowych z dwoma rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.	alumineu	curtina_x402	https://drive.google.com/uc?id=1S1fRqPlb2RyRt7AKEzWppL25sNkbn1AP	https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x402
Rv6KF1WLiPamjAv2BaZge3	Profil LIGHTRA X030	Patentowany profil LIGHTRA x030® separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.	alumineu	lightra_x030	https://drive.google.com/uc?id=1JcRLFzKFeMaiWDZwJsAK7h3YQFkf8adc	https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x030
MzeeWUC0gyE9JJJLbz34v3	Profil LIGHTRA X030 S	Patentowany profil LIGHTRA x030 s® separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.	alumineu	lightra_x030s	https://drive.google.com/uc?id=1TSh1oXbujCByOF5x447EjDqwb_Y4ESNw	https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x030-s
wDQZybWWgNkn2Zq49zPi30	Profil LIGHTRA X050	Patentowany profil LIGHTRA x050® separacyjny do sufitów napinanych z harpunowym systemem mocowania płótna. Do wykorzystania przy tworzeniu linii światła.	alumineu	lightra_x050	https://drive.google.com/uc?id=1gfiRzqUaMR-dbS2WXuJRBetvkH8SAYkj	https://alumineu.pl/produkty/profile-harpunowe/swietlne/lightra-x050
Xo7o90pXhmhKf1FmlwptL2	Profil LAMPLIX X950	"Uniwersalny profil LAMPLIX x950® do wykonywania natynkowych, podwieszanych i wpuszczanych linii świetlnych oraz opraw oświetleniowych."	alumineu	lamplix_x950	https://drive.google.com/uc?id=1aHtF1w8W1t1sKp72gjN-IKEOvpROFIVU	https://alumineu.pl/produkty/profile-harpunowe/swietlne/lamplix-x950
lxFpGXGnhGh-TPEwCLiEt2	Profil CLASSIX X130	Patentowany profil CLASSIX x130® do sufitów napinanych z harpunowym systemem mocowania płótna. Obwód profilu jest zamknięty wkładką ścienną.	alumineu	classix_x130	https://drive.google.com/uc?id=1-t_RzppxoCZSt-0gwEcKvR057rMSm9ns	https://alumineu.pl/produkty/profile-harpunowe/bezszczelinowe/classix-x130
V3cnnvOSiRXwOxWDjbAgp3	Profil CLASSIX X140	Patentowany profil CLASSIX x140® ścienny do sufitów napinanych z harpunowym systemem mocowania płótna. Bez osłony ściennej.	alumineu	classix_x140	https://drive.google.com/uc?id=1lv-C-QED20jlJS5sf8OxXUwsdNJ1FjGL	https://alumineu.pl/produkty/profile-harpunowe/bezszczelinowe/classix-x140
DJNjCqquhcS8YMhhFUUT-3	Profil INVISIA X202	Patentowany profil INVISIA x202® ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna.	alumineu	invisia_x202	https://drive.google.com/uc?id=1nnFODITgP8hTw1IMFHnquQXMcTIfv7uO	https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x202
zA59TVMAiMOOTZf15BUvl2	Profil INVISIA X204	Patentowany profil INVISIA x204® separacyjny ze szczeliną cieniową do sufitów napinanych z harpunowym systemem mocowania płótna. Stosowany jest do pochyłych sufitów napinanych na poddaszach lub do dzielenia powierzchni płótna na kilka segmentów bez użycia wkładki rozdzielającej.	alumineu	invisia_x204	https://drive.google.com/uc?id=1375WO1UdG_ehzyGcjxCB0n292HFMWLRA	https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x204
EGXmtijjgeQdvXQSqdLGi3	Profil INVISIA X206	Patentowany profil INVISIA x206® sufitowy dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna.	alumineu	invisia_x206	https://drive.google.com/uc?id=1lDP595S0X_3KXxoZ7QTlNO81bPUCAS7U	https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x206
YZTju3ikgOF1-Sj6ktK6e2	Profil INVISIA X207	Patentowany profil INVISIA x207® sufitowy dystansowy do wentylacji w sufitach napinanych z harpunowym systemem mocowania płótna.	alumineu	invisia_x207	https://drive.google.com/uc?id=1PvSGgp_U9emq8naSZ1Xjf8zemIwbI9mS	https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x207
eyVbkQihgGQtYR5EF0P4w0	Profil INVISIA X208	Patentowany profil INVISIA x208® sufitowy dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Do obejścia skomplikowanych ścian.	alumineu	invisia_x208	https://drive.google.com/uc?id=1_fM6UZo5xckNGR9PO0fvRWTFIQ-gGmR4	https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x208
EeRJkcybhq5xX9vhB-xzv3	Profil INVISIA X209	Patentowany profil INVISIA x209® dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Do obejścia schodów i świetlików.	alumineu	invisia_x209	https://drive.google.com/uc?id=1qfGCpe6l_jupuhrOccmxB6oiJ7JHz1Jh	https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x209
cTT1GGAZj76alVXu4vaAe1	Profil INVISIA X209	Patentowany profil INVISIA x209® dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Do obejścia schodów i świetlików.	alumineu	invisia_x209	https://drive.google.com/uc?id=1qfGCpe6l_jupuhrOccmxB6oiJ7JHz1Jh	https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x209
