# Optional ,# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Optional,Alumineu,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Optional | ,# Required | The current condition of the item. | Supported values: new; used,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.
custom_label_1,product_tags[1],item_group_id,id,title,description,rich_text_description,brand,size,color,price,link,additional_image_link,condition,availability,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,google_product_category,fb_product_category
,light,lightra_x015,olHJtrUhhLVDB5FN2Is6G0,Profile LIGHTRA X015,Patented LIGHTRA X015® separation profile for stretch ceilings with a harpoon mounting system. Designed for creating a light line.,,alumineu,Aluminum,no color,2.83 EUR,https://alumineu.com/products/harpoon-profiles/light/lightra-x015?editionuid=631446513984,"https://drive.google.com/uc?id=17iV6kxFVV-6UxRAO6BWNsDD2IXWu1e81, https://drive.google.com/uc?id=1WcJRUsaDNmuIOKetxO_MF4iAAAHK55_V, https://drive.google.com/uc?id=1rihMoOyXkgST-35QSsU7xZQYxd5d18BK",new,in stock,100,,,7112,1457
,light,lightra_x030,Rv6KF1WLiPamjAv2BaZge3,Profile LIGHTRA X030,Patented LIGHTRA X030® separation profile for stretch ceilings with a harpoon mounting system. Designed for creating a light line.,,alumineu,Aluminum,no color,3.77 EUR,https://alumineu.com/products/harpoon-profiles/light/lightra-x030?editionuid=707683365734,"https://drive.google.com/uc?id=1q7Hts3XHwGIejVqxiVGsKJpdCiQA8pPf, https://drive.google.com/uc?id=1BQBllYQFT0EMogqzRdPczmwCZFWz1Yqy, https://drive.google.com/uc?id=1W78jOKuvbMeYaf-ZkonW14Qzvy6OpXA6",new,in stock,100,,,7112,1457
,light,lightra_x030_s,MzeeWUC0gyE9JJJLbz34v3,Profile LIGHTRA X030 S,Patented LIGHTRA X030® separation profile for stretch ceilings with a harpoon mounting system. Designed for creating a light line.,,alumineu,Aluminum,no color,3.30 EUR,https://alumineu.com/products/harpoon-profiles/light/lightra-x030-s?editionuid=959868546004,"https://drive.google.com/uc?id=15qCEfUTj7bSVVMsuaHMrBqQW7bcq_eZI, https://drive.google.com/uc?id=18Gfax0Zlm0P6c9Qun0v_NDS2JGZ4o8SL, https://drive.google.com/uc?id=1sfutcwagZ85qrgpibibA0bo1Sy0xKsh3, https://drive.google.com/uc?id=1W78jOKuvbMeYaf-ZkonW14Qzvy6OpXA6",new,in stock,100,,,7112,1457
,light,lightra_x050,wDQZybWWgNkn2Zq49zPi30,Profile LIGHTRA X050,Patented LIGHTRA X015® separation profile for stretch ceilings with a harpoon mounting system. Designed for creating a light line.,,alumineu,Aluminum,no color,4.25 EUR,https://alumineu.com/products/harpoon-profiles/light/lightra-x050?editionuid=619983884654,"https://drive.google.com/uc?id=1MqY7Vf5cGaa3CWyf_y_xmKj_wGGcsMoC, https://drive.google.com/uc?id=1Uovd-WdU3rlnadGUDiqU6H81XMolnQCe, https://drive.google.com/uc?id=1KyqcpZd4sXvoMBwm_a6yqP8rNgzGAFL_",new,in stock,100,,,7112,1457
,light,lamplix_x930,63SkQfPpjSYcEKuuMh-YG2,Profile LAMPLIX X930,"Universal LAMPLIX X930® profile for creating surface-mounted, suspended, and recessed light lines as well as lighting fixtures.",,alumineu,Aluminum,no color,4.72 EUR,https://alumineu.com/products/harpoon-profiles/light/lamplix-x930?editionuid=189187775894,https://drive.google.com/uc?id=1xXNkBl86L3quT1nBKIgp8yycX1v1q3Fs,new,in stock,100,,,7112,1457
,light,lamplix_x950,Xo7o90pXhmhKf1FmlwptL2,Profile LAMPLIX X950,"Universal LAMPLIX X950® profile for creating surface-mounted, suspended, and recessed light lines as well as lighting fixtures.",,alumineu,Aluminum,no color,7.08 EUR,https://alumineu.com/products/harpoon-profiles/light/lamplix-x950?editionuid=725321732754,https://drive.google.com/uc?id=11h_ZjHi0RgCfs0mxydWzJL9fBR8VXVzV,new,in stock,100,,,7112,1457
,seamless,classix_x101,rtBsri0AgIfzRs45xlYEo3,Profile CLASSIX X101,Patented CLASSIX X101® profile for stretch ceilings with a harpoon mounting system. Designed for navigating complex walls. The profile perimeter is closed with a wall insert.,,alumineu,Aluminum,no color,2.12 EUR,https://alumineu.com/products/harpoon-profiles/seamless/classix-x101?editionuid=185009411534,"https://drive.google.com/uc?id=1MErYcBb87Sxu_komEHnWC7vCRDOdn_X2, https://drive.google.com/uc?id=1NqfaIYhtHhIdo45z0XHcY59LDSSABIPR, https://drive.google.com/uc?id=1rxYyLf7jDWGOJwsyMqDNvsSkKs9uvvSF",new,in stock,100,,,7112,1457
,seamless,classix_x130,lxFpGXGnhGh-TPEwCLiEt2,Profile CLASSIX X130,Patented CLASSIX X130® profile for stretch ceilings with a harpoon fastening system. The perimeter of the profile is finished with a wall insert.,,alumineu,Aluminum,no color,0.71 EUR,https://alumineu.com/products/harpoon-profiles/seamless/classix-x130?editionuid=261836658024,"https://drive.google.com/uc?id=1ZhZipXy3PhVjxJef-p34_uGcpAKVA9xs, https://drive.google.com/uc?id=14bApwSlV4Be-ifscx95PI5z5EcVbuIRw, https://drive.google.com/uc?id=12rxjKAcddVR-9l0CHSIUzX0YS3ud9FVr",new,in stock,100,,,7112,1457
,seamless,classix_x140,V3cnnvOSiRXwOxWDjbAgp3,Profile CLASSIX X140,Patented CLASSIX X140® wall-mounted profile for stretch ceilings with a harpoon fastening system. Without a wall insert.,,alumineu,Aluminum,no color,0.92 EUR,https://alumineu.com/products/harpoon-profiles/seamless/classix-x140?editionuid=465418283094,"https://drive.google.com/uc?id=1NJlm9rib2fADT2a1KKrDqxRmE-rRjRmf, https://drive.google.com/uc?id=12dVzIY0_2lwsfic_sSkj31l8_t3uwFBU, https://drive.google.com/uc?id=1-Ju5UBs6eNWGpnmWaTA7Fwkd-OX8nZ8v",new,in stock,100,,,7112,1457
,shadow,invisia_x201,oo9OjTbNgZ8SJAWgghj610,Profile INVISIA X201,Patented INVISIA X201® wall-mounted spacer profile for stretch ceilings with a harpoon fastening system.,,alumineu,Aluminum,black matte,2.45 EUR,https://alumineu.com/products/harpoon-profiles/shadow/invisia-x201?editionuid=415709907174,"https://drive.google.com/uc?id=1R-9QlXUhfHmRRNjNI6FFUDC0O1wVOHvn, https://drive.google.com/uc?id=1vSRgPTQS66SjVeqt_obeRAT1BMvbPEuw, https://drive.google.com/uc?id=1doNRn2lC1L7rXkO4RoBlb8wllXxFd2qa",new,in stock,100,,,7112,1457
,shadow,invisia_x202,DJNjCqquhcS8YMhhFUUT-3,Profile INVISIA X202,Patented INVISIA X202® wall-mounted spacer profile for stretch ceilings with a harpoon fastening system.,,alumineu,Aluminum,black matte,2.36 EUR,https://alumineu.com/products/harpoon-profiles/shadow/invisia-x202?editionuid=399031398774,"https://drive.google.com/uc?id=1DNCe7DfN0gJl0KQkX5cWjg-gVYEm9S4D, https://drive.google.com/uc?id=1tPL2tQ2n8vcXLP3c5RpC6tsEGHpdqEMu, https://drive.google.com/uc?id=1QDS4cC_ttZBBn6gFj6CfhoySHqiAQRlI",new,in stock,100,,,7112,1457
,shadow,invisia_x204,zA59TVMAiMOOTZf15BUvl2,Profile INVISIA X204,Patented INVISIA X204® separation profile with a shadow gap for stretch ceilings with a harpoon fastening system. It is used for sloped stretch ceilings in attic spaces or for dividing the ceiling membrane into multiple sections without the use of a separating insert.,,alumineu,Aluminum,black matte,3.77 EUR,https://alumineu.com/tproduct/134565867054-invisia-x204?editionuid=188951275984,"https://drive.google.com/uc?id=1b9OqKZyKscLsLFeGuatj9D7MAR241BRa, https://drive.google.com/uc?id=1XdkJ9sIP6bK3y1fi0SZAZpBDe7Oxl__T, https://drive.google.com/uc?id=17gYm7IBn5ZpKHRPUWVwO4ORpYY9fmWwD",new,in stock,100,,,7112,1457
,shadow,invisia_x206,EGXmtijjgeQdvXQSqdLGi3,Profile INVISIA X206,Patented INVISIA X206® ceiling spacer profile for stretch ceilings featuring a harpoon mounting system.,,alumineu,Aluminum,black matte,3.77 EUR,https://alumineu.com/tproduct/226681894614-invisia-x206?editionuid=790675483284,"https://drive.google.com/uc?id=18mLn1YP3tLwK0ZIw1oAcIbN_5QhS3FII, https://drive.google.com/uc?id=1AeYB_QWBN5kMu2OlHDsuClmHAQ0GGvet, https://drive.google.com/uc?id=16ero6PPZf_A3423gb5Au5VU9msWFrX46",new,in stock,100,,,7112,1457
,shadow,invisia_x207,YZTju3ikgOF1-Sj6ktK6e2,Profile INVISIA X207,Patented INVISIA X207® ceiling-mounted spacer profile for ventilation in stretch ceilings with a harpoon fastening system.,,alumineu,Aluminum,black matte,5.66 EUR,https://alumineu.com/products/harpoon-profiles/shadow/invisia-x207?editionuid=138094009044,"https://drive.google.com/uc?id=1H0BvwoiRN-NKeg-CLyt6n7HGi2lQhh91, https://drive.google.com/uc?id=12TjByIkJwsf5RBMGztMhLgNSn104f6y3, https://drive.google.com/uc?id=1y3IQg_wbMKIFxtGSmMH1KDnvSACPGon3",new,in stock,100,,,7112,1457
,shadow,invisia_x208,eyVbkQihgGQtYR5EF0P4w0,Profile INVISIA X208,Patented INVISIA X208® ceiling-mounted spacer profile for stretch ceilings with a harpoon fastening system. Designed to accommodate complex wall geometries.,,alumineu,Aluminum,black matte,2.83 EUR,https://alumineu.com/tproduct/946367237194-invisia-x208?editionuid=302245781094,"https://drive.google.com/uc?id=1o8vtunjW4J5euLGuvoPNYpFntLporBLP, https://drive.google.com/uc?id=1bEkMg7AIqbRQNWuxPDAex_hO_Tlu6foW, https://drive.google.com/uc?id=1TdO2RkbGPxZAhIf72Nf7rKs9w1mCIByr",new,in stock,100,,,7112,1457
,shadow,invisia_x209,EeRJkcybhq5xX9vhB-xzv3,Profile INVISIA X209,Patented INVISIA X209® spacer profile for stretch ceilings with a harpoon fastening system. Designed to accommodate staircases and skylights.,,alumineu,Aluminum,black matte,5.66 EUR,https://alumineu.com/tproduct/102042709454-invisia-x209?editionuid=403589331054,"https://drive.google.com/uc?id=1oiNbnMd11K2TKxbN1RZDZ_RD-s1VxEGm, https://drive.google.com/uc?id=19-exLUXnyt91DaEEj-yzx0Cnn2STsmJl, https://drive.google.com/uc?id=11op0f9O7ohv6FZeAaGF7ps3DWcMXQLhz",new,in stock,100,,,7112,1457
,shadow,invisia_x209,cTT1GGAZj76alVXu4vaAe1,Profile INVISIA X209,Patented INVISIA X209® spacer profile for stretch ceilings with a harpoon fastening system. Designed to accommodate staircases and skylights.,,alumineu,Aluminum,white matte,5.66 EUR,https://alumineu.com/tproduct/102042709454-invisia-x209?editionuid=793147505754,"https://drive.google.com/uc?id=1oiNbnMd11K2TKxbN1RZDZ_RD-s1VxEGm, https://drive.google.com/uc?id=19-exLUXnyt91DaEEj-yzx0Cnn2STsmJl, https://drive.google.com/uc?id=11op0f9O7ohv6FZeAaGF7ps3DWcMXQLhz",new,in stock,100,,,7112,1457
,floating,floatia_x301,jzysdA0nhEDukcRfamitz0,Profile FLOATIA X301,Patented FLOATIA X301® wall-mounted spacer profile for stretch ceilings with a harpoon fastening system. Features a shelf for LED tape. No cover or diffuser included.,,alumineu,Aluminum,white matte,2.83 EUR,https://alumineu.com/products/harpoon-profiles/floating/floatia-x301?editionuid=366812850644,"https://drive.google.com/uc?id=1f0lXWOdXT9brQqcL-WLmLCC124xiilU2, https://drive.google.com/uc?id=15G1KsEVNW-6ZK75iSn41JZJEB-hkW8so, https://drive.google.com/uc?id=1wnQEHQCl68OS9y3wrId9XnkDW1J5UaL0",new,in stock,100,,,7112,1457
,floating,floatia_x302,IxT7oD8zhIbrnn2LbGw2D0,Profile FLOATIA X302,Patented FLOATIA X302® wall-mounted spacer profile for stretch ceilings with a harpoon fastening system. Features a shelf for LED tape and a protective cover.,,alumineu,Aluminum,no color,2.83 EUR,https://alumineu.com/products/harpoon-profiles/floating/floatia-x302?editionuid=188895409984,"https://drive.google.com/uc?id=113mq-nr-dqVWWUTywjdZS6C2YgO8IobZ, https://drive.google.com/uc?id=1ZG7iLJnATHZF_kKx41iyEQn2w796r-ny, https://drive.google.com/uc?id=1eRjiHdpiXyT6vpdvZcEuAkMsaKiNYqus",new,in stock,100,,,7112,1457
